session_id,session_start,scale,category,degree,Q,C,T_ms,acc,rt_mean_ms,rt_factor,assist_factor,mark
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,single_note,7,1,1,1534,1.0,1534.0,0.5014256,1.0,0.5014256
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,single_note,4,1,1,951,1.0,951.0,0.651844,1.0,0.651844
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,single_note,3,1,1,1691,1.0,1691.0,0.46722236,1.0,0.46722236
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,single_note,2,1,1,250,1.0,250.0,0.89359736,1.0,0.89359736
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,single_note,5,1,1,887,1.0,887.0,0.67089003,1.0,0.67089003
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,chord,5,1,1,4698,1.0,4698.0,0.12074191,0.9090909,0.10976537
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,chord,2,1,0,14771,0.0,14771.0,0.0012979752,0.9090909,0.0
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,chord,7,1,1,4203,1.0,4203.0,0.150868,1.0,0.150868
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,chord,1,1,1,145,1.0,145.0,0.9368332,1.0,0.9368332
f4e166f3-7c06-42bf-abef-600509920d6b,2025-09-15 17:11:55.962918+00:00,major,chord,6,1,1,1843,1.0,1843.0,0.43633282,1.0,0.43633282
